Realm Key,Product Key,Quality Level,Unit Price
2,110,0,165.04
2,111,0,591.24
2,112,0,9797.04
2,113,0,28.03
2,114,0,749.59
2,115,0,748.80
2,116,0,1.24
2,118,0,1081.32
2,119,0,10.91
2,120,0,0.25
2,121,0,7.51
2,123,0,583.48
2,124,0,12.39
2,125,0,82.78
2,126,0,7779.84
2,128,0,40.31
2,129,0,11.91
2,130,0,19.42
2,131,0,31.06
2,134,0,16.81
2,135,0,1.56
2,136,0,736.47
2,137,0,903.29
2,138,0,192.72
2,139,0,0.35
2,140,0,468.06
2,141,0,5100.00
2,142,0,4.84
2,143,0,29.97
2,144,0,2.36
2,145,0,0.34
2,146,0,101.05
2,147,0,2216.15
2,148,0,25.00
2,149,0,4.72
2,150,0,11.90
1,145,0,0.34
2,151,0,16.00
1,145,1,0.39
1,145,2,0.40
1,146,0,110.10
1,147,0,1901.53
1,148,0,33.58
1,149,0,4.74
1,150,0,12.10
1,151,0,16.83
